Datum,Anzahl der Fahrzeuge,Wochentag_sin,Wochentag_cos,Wochenende,Niederschlag,Sonnenscheindauer,Lufttemperatur
2019-06-21,193,-0.433883739117558,-0.9009688679024191,0,0.012513034410844632,0.4225352112676056,0.7800511508951407
2019-06-22,268,-0.9749279121818236,-0.2225209339563146,1,0.049009384775808136,0.2183098591549296,0.7851662404092072
2019-06-23,428,-0.7818314824680299,0.6234898018587334,1,0.0,0.6830985915492958,0.7979539641943734
2019-06-24,99,0.0,1.0,0,0.0,0.9859154929577465,0.8491048593350383
2019-06-25,93,0.7818314824680298,0.6234898018587336,0,0.0,0.9929577464788732,0.9028132992327367
2019-06-26,97,0.9749279121818236,-0.2225209339563143,0,0.0,0.9859154929577465,0.9258312020460358
2019-06-27,85,0.4338837391175582,-0.900968867902419,0,0.0,0.9647887323943662,0.9539641943734016
2019-06-28,102,-0.433883739117558,-0.9009688679024191,0,0.0,0.9577464788732395,0.9283887468030692
2019-06-29,116,-0.9749279121818236,-0.2225209339563146,1,0.0,0.9929577464788732,0.8772378516624042
2019-06-30,163,-0.7818314824680299,0.6234898018587334,1,0.0,0.9859154929577465,0.959079283887468
2019-07-01,96,0.0,1.0,0,0.13555787278415019,0.619718309859155,0.9565217391304348
2019-07-02,157,0.7818314824680298,0.6234898018587336,0,0.004171011470281543,0.7253521126760564,0.8363171355498722
2019-07-03,170,0.9749279121818236,-0.2225209339563143,0,0.029197080291970805,0.4647887323943662,0.8158567774936063
2019-07-04,130,0.4338837391175582,-0.900968867902419,0,0.0,0.9577464788732395,0.8235294117647058
2019-07-05,115,-0.433883739117558,-0.9009688679024191,0,0.0,0.9084507042253522,0.8670076726342713
2019-07-06,157,-0.9749279121818236,-0.2225209339563146,1,0.02294056308654849,0.5985915492957746,0.8797953964194374
2019-07-07,422,-0.7818314824680299,0.6234898018587334,1,0.07090719499478625,0.2112676056338028,0.8235294117647058
2019-07-08,140,0.0,1.0,0,0.11574556830031284,0.14084507042253522,0.7340153452685422
2019-07-09,224,0.7818314824680298,0.6234898018587336,0,0.002085505735140772,0.2746478873239437,0.731457800511509
2019-07-10,295,0.9749279121818236,-0.2225209339563143,0,0.0,0.9718309859154931,0.6879795396419438
2019-07-11,207,0.4338837391175582,-0.900968867902419,0,0.001042752867570386,0.09859154929577464,0.6956521739130435
2019-07-12,120,-0.433883739117558,-0.9009688679024191,0,0.3326381647549531,0.06338028169014084,0.7135549872122763
2019-07-13,259,-0.9749279121818236,-0.2225209339563146,1,0.0,0.18309859154929578,0.7033248081841432
2019-07-14,578,-0.7818314824680299,0.6234898018587334,1,0.0521376433785193,0.767605633802817,0.7212276214833759
2019-07-15,223,0.0,1.0,0,0.002085505735140772,0.2746478873239437,0.7493606138107417
2019-07-16,279,0.7818314824680298,0.6234898018587336,0,0.0,0.9647887323943662,0.7468030690537084
2019-07-17,238,0.9749279121818236,-0.2225209339563143,0,0.0,0.9014084507042255,0.80306905370844
2019-07-18,271,0.4338837391175582,-0.900968867902419,0,0.0,0.8732394366197184,0.8081841432225065
2019-07-19,181,-0.433883739117558,-0.9009688679024191,0,0.0,0.9154929577464789,0.843989769820972
2019-07-20,167,-0.9749279121818236,-0.2225209339563146,1,0.06882168925964546,0.8380281690140846,0.8976982097186701
2019-07-21,411,-0.7818314824680299,0.6234898018587334,1,0.02502606882168926,0.44366197183098594,0.8593350383631715
2019-07-22,146,0.0,1.0,0,0.0,0.8873239436619719,0.8823529411764706
2019-07-23,130,0.7818314824680298,0.6234898018587336,0,0.0,0.9577464788732395,0.9002557544757033
2019-07-24,126,0.9749279121818236,-0.2225209339563143,0,0.0,0.9577464788732395,0.9616368286445014
2019-07-25,112,0.4338837391175582,-0.900968867902419,0,0.0,0.8028169014084507,0.9795396419437341
2019-07-26,7,-0.433883739117558,-0.9009688679024191,0,0.04796663190823775,0.591549295774648,0.9820971867007673
2019-08-07,35,0.9749279121818236,-0.2225209339563143,0,0.23461939520333683,0.05633802816901409,0.7416879795396419
2019-08-08,399,0.4338837391175582,-0.900968867902419,0,0.0,0.8943661971830986,0.7851662404092072
2019-08-09,221,-0.433883739117558,-0.9009688679024191,0,0.012513034410844632,0.8380281690140846,0.8772378516624042
2019-08-10,203,-0.9749279121818236,-0.2225209339563146,1,0.09906152241918667,0.18309859154929578,0.843989769820972
2019-08-11,386,-0.7818314824680299,0.6234898018587334,1,0.15015641293013557,0.8309859154929579,0.8465473145780051
2019-08-12,70,0.0,1.0,0,0.4796663190823775,0.02112676056338028,0.8056265984654731
2019-08-13,327,0.7818314824680298,0.6234898018587336,0,0.0,0.19718309859154928,0.6930946291560103
2019-08-14,369,0.9749279121818236,-0.2225209339563143,0,0.0,0.8309859154929579,0.6777493606138107
2019-08-15,316,0.4338837391175582,-0.900968867902419,0,0.06360792492179354,0.35211267605633806,0.6982097186700768
2019-08-16,288,-0.433883739117558,-0.9009688679024191,0,0.0,0.8591549295774648,0.7391304347826088
2019-08-17,335,-0.9749279121818236,-0.2225209339563146,1,0.0,0.1056338028169014,0.7365728900255755
2019-08-18,343,-0.7818314824680299,0.6234898018587334,1,0.09489051094890512,0.8732394366197184,0.8567774936061381
2019-08-19,160,0.0,1.0,0,0.056308654848800835,0.20422535211267606,0.8260869565217392
2019-08-20,60,0.7818314824680298,0.6234898018587336,0,0.48696558915537025,0.0,0.70076726342711
2019-08-21,266,0.9749279121818236,-0.2225209339563143,0,0.0,0.295774647887324,0.690537084398977
2019-08-22,266,0.4338837391175582,-0.900968867902419,0,0.0,0.295774647887324,0.680306905370844
2019-08-23,247,-0.433883739117558,-0.9009688679024191,0,0.0,0.3802816901408451,0.7289002557544757
2019-08-24,358,-0.9749279121818236,-0.2225209339563146,1,0.0,0.8591549295774648,0.7493606138107417
2019-08-25,438,-0.7818314824680299,0.6234898018587334,1,0.0,0.852112676056338,0.7774936061381075
2019-08-26,198,0.0,1.0,0,0.0,0.8591549295774648,0.8005115089514068
2019-08-27,158,0.7818314824680298,0.6234898018587336,0,0.0,0.852112676056338,0.8260869565217392
2019-08-28,203,0.9749279121818236,-0.2225209339563143,0,0.09697601668404589,0.6619718309859155,0.8593350383631715
2019-08-29,136,0.4338837391175582,-0.900968867902419,0,0.003128258602711158,0.295774647887324,0.8005115089514068
2019-08-30,179,-0.433883739117558,-0.9009688679024191,0,0.0,0.8450704225352113,0.7953964194373402
2019-08-31,228,-0.9749279121818236,-0.2225209339563146,1,0.0,0.647887323943662,0.8260869565217392
2019-09-01,404,-0.7818314824680299,0.6234898018587334,1,0.18352450469238793,0.4295774647887324,0.7979539641943734
2019-09-02,54,0.0,1.0,0,0.016684045881126174,0.0,0.710997442455243
2019-09-03,230,0.7818314824680298,0.6234898018587336,0,0.0,0.8309859154929579,0.659846547314578
2019-09-04,245,0.9749279121818236,-0.2225209339563143,0,0.0,0.823943661971831,0.7058823529411765
2019-09-05,74,0.4338837391175582,-0.900968867902419,0,0.2523461939520334,0.0,0.6547314578005116
2019-09-06,121,-0.433883739117558,-0.9009688679024191,0,0.20229405630865488,0.014084507042253523,0.6010230179028133
2019-09-07,123,-0.9749279121818236,-0.2225209339563146,1,0.035453597497393116,0.28169014084507044,0.6342710997442456
2019-09-08,115,-0.7818314824680299,0.6234898018587334,1,0.23253388946819606,0.0,0.5447570332480819
2019-09-09,113,0.0,1.0,0,0.001042752867570386,0.5492957746478874,0.5959079283887468
2019-09-10,161,0.7818314824680298,0.6234898018587336,0,0.0,0.7746478873239437,0.6317135549872124
2019-09-11,171,0.9749279121818236,-0.2225209339563143,0,0.0,0.7112676056338029,0.6675191815856778
2019-09-12,170,0.4338837391175582,-0.900968867902419,0,0.0,0.7605633802816902,0.7442455242966752
2019-09-13,162,-0.433883739117558,-0.9009688679024191,0,0.0,0.8028169014084507,0.731457800511509
2019-09-14,269,-0.9749279121818236,-0.2225209339563146,1,0.0,0.7887323943661971,0.7237851662404092
2019-09-15,593,-0.7818314824680299,0.6234898018587334,1,0.0,0.795774647887324,0.7468030690537084
2019-09-16,108,0.0,1.0,0,0.0,0.7887323943661971,0.8107416879795397
2019-09-17,135,0.7818314824680298,0.6234898018587336,0,0.0,0.7253521126760564,0.7595907928388747
2019-09-18,140,0.9749279121818236,-0.2225209339563143,0,0.0,0.07042253521126761,0.6828644501278772
2019-09-19,148,0.4338837391175582,-0.900968867902419,0,0.0,0.5985915492957746,0.6086956521739131
2019-09-20,148,-0.433883739117558,-0.9009688679024191,0,0.0,0.7816901408450704,0.5626598465473146
2019-09-21,318,-0.9749279121818236,-0.2225209339563146,1,0.0,0.7746478873239437,0.5959079283887468
2019-09-22,491,-0.7818314824680299,0.6234898018587334,1,0.03858185610010428,0.4366197183098592,0.6956521739130435
2019-09-23,56,0.0,1.0,0,0.16475495307612098,0.06338028169014084,0.6470588235294118
2019-09-24,128,0.7818314824680298,0.6234898018587336,0,0.08237747653806049,0.2323943661971831,0.5805626598465474
2019-09-25,97,0.9749279121818236,-0.2225209339563143,0,0.049009384775808136,0.15492957746478875,0.6624040920716112
2019-09-26,50,0.4338837391175582,-0.900968867902419,0,0.040667361835245046,0.0,0.6317135549872124
2019-09-27,141,-0.433883739117558,-0.9009688679024191,0,0.08759124087591243,0.35211267605633806,0.690537084398977
2019-09-28,301,-0.9749279121818236,-0.2225209339563146,1,0.0,0.2676056338028169,0.680306905370844
2019-09-29,533,-0.7818314824680299,0.6234898018587334,1,0.0,0.676056338028169,0.6726342710997443
2019-09-30,95,0.0,1.0,0,0.0,0.5070422535211268,0.7084398976982097
2019-10-01,183,0.7818314824680298,0.6234898018587336,0,0.06047966631908239,0.7042253521126761,0.6777493606138107
2019-10-02,80,0.9749279121818236,-0.2225209339563143,0,0.20646506777893642,0.035211267605633804,0.6061381074168799
2019-10-03,189,0.4338837391175582,-0.900968867902419,0,0.0,0.6408450704225352,0.5191815856777494
2019-10-04,97,-0.433883739117558,-0.9009688679024191,0,0.07507820646506778,0.035211267605633804,0.47314578005115093
2019-10-05,118,-0.9749279121818236,-0.2225209339563146,1,0.12408759124087593,0.0,0.5652173913043479
2019-10-06,250,-0.7818314824680299,0.6234898018587334,1,0.1564129301355579,0.028169014084507046,0.5575447570332481
2019-10-07,136,0.0,1.0,0,0.0,0.5140845070422535,0.5728900255754477
2019-10-08,143,0.7818314824680298,0.6234898018587336,0,0.05526590198123046,0.11267605633802819,0.5652173913043479
2019-10-09,41,0.9749279121818236,-0.2225209339563143,0,0.15537017726798752,0.0,0.5831202046035806
2019-10-10,144,0.4338837391175582,-0.900968867902419,0,0.0,0.16901408450704225,0.5754475703324808
2019-10-11,196,-0.433883739117558,-0.9009688679024191,0,0.0,0.6830985915492958,0.5652173913043479
2019-10-12,334,-0.9749279121818236,-0.2225209339563146,1,0.0,0.5352112676056338,0.6035805626598466
2019-10-13,563,-0.7818314824680299,0.6234898018587334,1,0.0,0.6056338028169014,0.6521739130434783
2019-10-14,216,0.0,1.0,0,0.0,0.591549295774648,0.6138107416879796
2019-10-15,6,0.7818314824680298,0.6234898018587336,0,0.18456725755995831,0.04929577464788732,0.6930946291560103
2019-10-19,186,-0.9749279121818236,-0.2225209339563146,1,0.008342022940563087,0.13380281690140844,0.6010230179028133
2019-10-20,623,-0.7818314824680299,0.6234898018587334,1,0.006256517205422316,0.0,0.680306905370844
2019-10-21,94,0.0,1.0,0,0.004171011470281543,0.20422535211267606,0.7442455242966752
2019-10-22,98,0.7818314824680298,0.6234898018587336,0,0.0,0.02112676056338028,0.6163682864450128
2019-10-23,163,0.9749279121818236,-0.2225209339563143,0,0.0,0.3732394366197183,0.6726342710997443
2019-10-24,120,0.4338837391175582,-0.900968867902419,0,0.002085505735140772,0.2112676056338028,0.6956521739130435
2019-10-25,125,-0.433883739117558,-0.9009688679024191,0,0.0,0.24647887323943662,0.639386189258312
2019-10-26,575,-0.9749279121818236,-0.2225209339563146,1,0.0,0.6267605633802817,0.5601023017902813
2019-10-27,709,-0.7818314824680299,0.6234898018587334,1,0.014598540145985404,0.5845070422535212,0.5907928388746804
2019-10-28,52,0.0,1.0,0,0.14598540145985403,0.0,0.5754475703324808
2019-10-29,53,0.7818314824680298,0.6234898018587336,0,0.1386861313868613,0.0,0.5012787723785167
2019-10-30,48,0.9749279121818236,-0.2225209339563143,0,0.23670490093847762,0.0,0.46803069053708446
2019-10-31,136,0.4338837391175582,-0.900968867902419,0,0.0,0.0,0.46803069053708446
2019-11-01,343,-0.433883739117558,-0.9009688679024191,0,0.014598540145985404,0.19718309859154928,0.5370843989769821
2019-11-02,268,-0.9749279121818236,-0.2225209339563146,1,0.008342022940563087,0.11267605633802819,0.618925831202046
2019-11-03,359,-0.7818314824680299,0.6234898018587334,1,0.059436913451511995,0.0,0.5345268542199488
2019-11-04,65,0.0,1.0,0,0.0813347236704901,0.2746478873239437,0.5370843989769821
2019-11-05,36,0.7818314824680298,0.6234898018587336,0,0.07299270072992702,0.0,0.5063938618925832
2019-11-06,55,0.9749279121818236,-0.2225209339563143,0,0.008342022940563087,0.04225352112676056,0.4603580562659847
2019-11-07,78,0.4338837391175582,-0.900968867902419,0,0.043795620437956206,0.19014084507042256,0.40664961636828645
2019-11-08,29,-0.433883739117558,-0.9009688679024191,0,0.057351407716371226,0.007042253521126762,0.40664961636828645
2019-11-09,162,-0.9749279121818236,-0.2225209339563146,1,0.0,0.11971830985915494,0.4245524296675192
2019-11-10,477,-0.7818314824680299,0.6234898018587334,1,0.0,0.5352112676056338,0.34271099744245526
2019-11-11,43,0.0,1.0,0,0.07194994786235663,0.035211267605633804,0.27877237851662406
2019-11-12,31,0.7818314824680298,0.6234898018587336,0,0.003128258602711158,0.014084507042253523,0.38363171355498726
2019-11-13,54,0.9749279121818236,-0.2225209339563143,0,0.0,0.13380281690140844,0.3759590792838875
2019-11-14,71,0.4338837391175582,-0.900968867902419,0,0.0,0.09154929577464789,0.43734015345268545
2019-11-15,36,-0.433883739117558,-0.9009688679024191,0,0.03753910323253389,0.014084507042253523,0.4552429667519182
2019-11-16,216,-0.9749279121818236,-0.2225209339563146,1,0.02294056308654849,0.3028169014084507,0.39130434782608703
2019-11-17,102,-0.7818314824680299,0.6234898018587334,1,0.03023983315954119,0.0,0.360613810741688
2019-11-18,70,0.0,1.0,0,0.0,0.2676056338028169,0.39897698209718674
